TermProxyCost,IsolatedCNOTs,CNOTDiff
0,0,0
1,2,2
3,8,9
3,8,7
3,8,8
0,0,0
3,8,7
0,0,0
1,2,2
0,0,1
3,8,8
0,0,0
3,8,7
0,0,0
3,10,10
3,10,10
4,10,11
4,10,10
3,8,7
0,0,0
0,0,0
0,0,0
1,2,2
4,8,9
3,8,8
4,8,9
3,10,10
2,4,4
4,10,12
4,10,10
0,0,0
0,0,0
3,6,5
3,10,10
0,0,1
4,8,10
4,8,7
0,0,1
4,8,10
3,10,10
3,6,6
0,0,1
3,8,9
3,8,8
4,10,9
0,0,0
2,6,6
0,0,0
2,4,4
4,8,9
0,0,0
4,8,9
1,2,2
2,6,6
0,0,0
4,8,8
4,8,8
1,2,2
0,0,0
2,4,4
0,0,0
3,8,9
0,0,0
3,8,7
4,10,8
2,4,4
4,10,10
3,6,5
0,0,0
1,2,2
0,0,1
2,4,4
3,10,10
3,8,9
4,10,8
3,8,8
4,8,9
0,0,0
2,6,6
2,6,6
0,0,0
3,10,10
4,8,10
0,0,0
3,10,9
4,8,10
0,0,0
0,0,0
4,8,8
4,8,8
0,0,0
3,10,10
1,2,2
0,0,1
0,0,1
3,8,8
0,0,0
1,2,1
0,0,0
3,8,7
3,6,6
0,0,0
2,4,4
3,6,7
3,8,8
3,8,7
0,0,0
3,6,6
3,6,7
2,4,4
3,8,9
0,0,0
3,10,9
3,8,8
1,2,2
0,0,0
3,10,10
3,10,10
1,2,2
2,4,4
1,2,2
4,8,9
4,8,9
0,0,0
0,0,0
0,0,0
0,0,0
4,8,8
3,10,10
4,8,10
0,0,0
4,10,10
4,10,11
0,0,0
3,6,6
1,2,2
2,6,6
2,4,4
4,8,10
0,0,0
2,4,4
0,0,0
2,6,6
1,2,2
3,10,10
0,0,0
0,0,0
0,0,0
3,6,5
0,0,0
4,8,9
2,6,6
4,8,10
4,8,9
2,4,4
4,8,10
2,4,4
3,10,10
4,10,12
0,0,0
1,2,2
4,8,9
0,0,0
0,0,0
4,8,8
0,0,0
3,10,10
4,10,12
0,0,0
3,8,8
2,4,4
3,6,6
0,0,1
4,8,9
4,8,8
0,0,0
2,4,3
1,2,2
0,0,1
1,2,2
3,6,7
3,6,6
0,0,0
3,6,6
3,8,9
3,6,6
0,0,0
2,4,3
1,2,2
2,6,6
2,4,4
2,6,6
3,8,7
2,4,5
0,0,0
2,6,6
4,10,10
2,4,4
2,4,6
3,6,6
0,0,0
4,8,9
2,4,4
0,0,0
0,0,0
1,2,2
4,8,9
2,4,4
4,10,10
2,4,4
4,10,11
3,8,9
2,4,3
4,10,10
0,0,0
0,0,0
0,0,0
1,2,2
2,4,4
3,8,9
1,2,1
3,8,8
2,4,4
3,6,6
2,4,5
0,0,0
1,2,1
0,0,0
3,6,6
1,2,2
3,8,8
1,2,2
3,6,7
4,8,8
4,10,10
2,4,4
4,8,9
3,10,9
0,0,1
2,4,4
0,0,0
1,2,2
3,8,9
3,8,6
0,0,0
3,6,7
1,2,1
2,4,4
1,2,2
4,10,10
4,8,7
3,6,6
0,0,0
3,8,8
2,6,6
0,0,0
1,2,1
3,6,6
3,8,7
2,4,4
2,4,4
2,4,4
1,2,2
0,0,1
3,6,7
3,6,7
0,0,0
2,4,4
2,4,5
1,2,2
0,0,1
1,2,2
2,4,5
2,4,4
0,0,0
4,8,9
3,6,6
0,0,0
2,6,5
0,0,0
0,0,0
2,6,5
4,8,9
3,6,5
4,8,8
3,6,7
0,0,0
1,2,1
3,6,6
3,6,6
2,6,5
3,6,6
0,0,0
2,6,6
3,6,7
2,4,3
3,6,7
0,0,0
0,0,0
1,2,2
0,0,1
4,8,9
4,8,8
0,0,0
2,4,4
1,2,2
0,0,1
3,6,6
3,8,8
3,8,8
3,6,7
