TreeIndex,TotalProxyCost
0,4.14901
1,3.91142
2,4.04622
3,4.12312
4,4.19047
5,4.12033
6,4.48204
7,4.1833
8,4.00203
9,4.52177
10,4.82027
11,3.83777
12,4.59001
13,4.10063
14,4.02837
15,4.09712
16,3.65607
17,4.45143
18,4.29995
19,4.02786
20,4.67642
21,4.08643
22,3.66966
23,3.98448
24,4.65639
25,4.57729
26,4.82143
27,4.07034
28,3.95277
29,4.68373
30,4.83747
31,4.07356
32,3.89176
33,4.51734
34,4.58765
35,4.6739
36,4.79182
37,4.02566
38,4.60957
39,4.51008
40,4.71174
41,4.08607
42,4.18271
43,4.61956
44,4.56096
45,4.54443
46,4.58323
47,4.79903
48,4.02932
49,4.07947
50,3.93696
51,3.99737
52,4.5556
53,4.14556
54,4.71107
55,3.77427
56,4.68026
57,4.26275
58,4.06516
59,4.75661
60,3.9162
61,3.75898
62,4.60927
63,4.49616
64,3.85388
65,4.71548
66,4.66757
67,4.15395
68,4.41832
69,3.9528
70,4.69582
71,4.03687
72,4.29135
73,4.5437
74,4.19878
75,4.7944
76,3.72803
77,4.80261
78,4.09917
79,4.11649
80,4.89101
81,4.58693
82,4.03289
83,3.96938
84,4.05134
85,4.0139
86,4.66819
87,3.80063
88,4.12834
89,4.62216
90,4.53249
91,4.57404
92,3.56269
93,4.56685
94,4.36586
95,4.04799
96,4.61679
97,4.75942
98,3.96722
99,4.04229
100,4.05356
101,4.40069
102,4.09861
103,4.88775
104,4.08801
105,4.6441
106,4.05454
107,4.3547
108,4.54972
109,4.1223
110,4.12162
111,3.95258
112,4.10044
113,4.73782
114,3.99905
115,4.21008
116,4.87134
117,4.63544
118,4.20447
119,4.40811
120,4.33767
121,3.98334
122,4.30046
123,3.90272
124,3.86031
125,4.71063
126,4.00442
127,4.42073
128,4.86105
129,4.73756
130,3.97562
131,4.22186
132,3.94524
133,3.83479
134,4.50401
135,3.77637
136,4.40726
137,4.57673
138,4.7443
139,4.10619
140,4.22302
141,4.24988
142,4.03392
143,4.062
144,3.9984
145,4.5672
146,4.40276
147,4.65562
148,4.77952
149,4.23369
150,4.55826
151,3.91228
152,4.3662
153,4.44331
154,4.14661
155,4.24378
156,4.11876
157,4.07348
158,4.03265
159,4.4679
160,4.67655
161,3.92221
162,4.04107
163,3.8115
164,4.1263
165,4.75004
166,4.33364
167,4.18172
168,4.06086
169,4.16439
170,4.10598
171,4.22813
172,4.19728
173,4.25293
174,4.4128
175,4.3763
176,4.3779
177,4.59256
178,4.70358
179,4.90714
180,3.94658
181,4.62396
182,3.92608
